,Rank,Name,Year,IMDB_Rating
0,1, The Shawshank Redemption,1994,9.3
1,2, The Godfather,1972,9.2
2,3, The Dark Knight,2008,9
3,4, The Godfather Part II,1974,9
4,5, 12 Angry Men,1957,9
5,6, Schindler's List,1993,9
6,7, The Lord of the Rings: The Return of the King,2003,9
7,8, Pulp Fiction,1994,8.9
8,9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9
9,10," Il buono, il brutto, il cattivo",1966,8.8
10,11, Forrest Gump,1994,8.8
11,12, The Lord of the Rings: The Two Towers,2002,8.8
12,13, Fight Club,1999,8.8
13,14, Inception,2010,8.8
14,15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,16, The Matrix,1999,8.7
16,17, Goodfellas,1990,8.7
17,18, One Flew Over the Cuckoo's Nest,1975,8.7
18,19, Se7en,1995,8.6
19,20, It's a Wonderful Life,1946,8.6
20,21, Interstellar,2014,8.7
21,22, Shichinin no samurai,1954,8.6
22,23, The Silence of the Lambs,1991,8.6
23,24, Saving Private Ryan,1998,8.6
24,25, Cidade de Deus,2002,8.6
25,26, La vita è bella,1997,8.6
26,27, The Green Mile,1999,8.6
27,28, Terminator 2: Judgment Day,1991,8.6
28,29, Star Wars,1977,8.6
29,30, Back to the Future,1985,8.5
30,31, Sen to Chihiro no kamikakushi,2001,8.6
31,32, Spider-Man: Across the Spider-Verse,2023,8.6
32,33, The Pianist,2002,8.5
33,34, Gisaengchung,2019,8.5
34,35, Psycho,1960,8.5
35,36, Gladiator,2000,8.5
36,37, The Lion King,1994,8.5
37,38, Léon,1994,8.5
38,39, The Departed,2006,8.5
39,40, American History X,1998,8.5
40,41, Whiplash,2014,8.5
41,42, The Prestige,2006,8.5
42,43, Hotaru no haka,1988,8.5
43,44, Seppuku,1962,8.6
44,45, The Usual Suspects,1995,8.5
45,46, Casablanca,1942,8.5
46,47, Intouchables,2011,8.5
47,48, Modern Times,1936,8.5
48,49, Nuovo Cinema Paradiso,1988,8.5
49,50, Rear Window,1954,8.5
50,51, C'era una volta il West,1968,8.5
51,52, 12th Fail,2023,9.1
52,53, Alien,1979,8.5
53,54, City Lights,1931,8.5
54,55, Apocalypse Now,1979,8.4
55,56, Django Unchained,2012,8.5
56,57, Memento,2000,8.4
57,58, WALL·E,2008,8.4
58,59, Raiders of the Lost Ark,1981,8.4
59,60, Das Leben der Anderen,2006,8.4
60,61, Sunset Blvd,1950,8.4
61,62, Paths of Glory,1957,8.4
62,63, Avengers: Infinity War,2018,8.4
63,64, Spider-Man: Into the Spider-Verse,2018,8.4
64,65, The Shining,1980,8.4
65,66, Witness for the Prosecution,1957,8.4
66,67, The Great Dictator,1940,8.4
67,68, Alien 2,1986,8.4
68,69, Inglourious Basterds,2009,8.4
69,70, The Dark Knight Rises,2012,8.4
70,71, Dr,1964,8.4
71,72, American Beauty,1999,8.3
72,73, Oldeuboi,2003,8.3
73,74, Coco,2017,8.4
74,75, Amadeus,1984,8.4
75,76, Toy Story,1995,8.3
76,77, Das Boot,1981,8.4
77,78, Braveheart,1995,8.3
78,79, Avengers: Endgame,2019,8.4
79,80, Joker,2019,8.4
80,81, Mononoke-hime,1997,8.3
81,82, Good Will Hunting,1997,8.3
82,83, Oppenheimer,2023,8.4
83,84, Kimi no na wa,2016,8.4
84,85, Once Upon a Time in America,1984,8.3
85,86, Tengoku to jigoku,1963,8.4
86,87, 3 Idiots,2009,8.4
87,88, Singin' in the Rain,1952,8.3
88,89, Capharnaüm,2018,8.4
89,90, Requiem for a Dream,2000,8.3
90,91, Idi i smotri,1985,8.4
91,92, Toy Story 3,2010,8.3
92,93, Star Wars: Episode VI - Return of the Jedi,1983,8.3
93,94, Eternal Sunshine of the Spotless Mind,2004,8.3
94,95, Jagten,2012,8.3
95,96, Poor Things,2023,8.4
96,97, 2001: A Space Odyssey,1968,8.3
97,98, Reservoir Dogs,1992,8.3
98,99, Ikiru,1952,8.3
99,100, Lawrence of Arabia,1962,8.3
100,101, The Apartment,1960,8.3
101,102, Citizen Kane,1941,8.3
102,103, North by Northwest,1959,8.3
103,104, M - Eine Stadt sucht einen Mörder,1931,8.3
104,105, Vertigo,1958,8.3
105,106, Double Indemnity,1944,8.3
106,107, Scarface,1983,8.3
107,108, Incendies,2010,8.3
108,109, Le fabuleux destin d'Amélie Poulain,2001,8.3
109,110, Full Metal Jacket,1987,8.3
110,111, A Clockwork Orange,1971,8.3
111,112, Heat,1995,8.3
112,113, Up,2009,8.3
113,114, To Kill a Mockingbird,1962,8.3
114,115, The Sting,1973,8.3
115,116, Jodaeiye Nader az Simin,2011,8.3
116,117, Indiana Jones and the Last Crusade,1989,8.2
117,118, Die Hard,1988,8.2
118,119, Hamilton,2020,8.3
119,120, Metropolis,1927,8.3
120,121, Taare Zameen Par,2007,8.3
121,122, Snatch,2000,8.2
122,123, L,1997,8.2
123,124, Ladri di biciclette,1948,8.3
124,125,1917,2019,8.2
125,126, Taxi Driver,1976,8.2
126,127, Der Untergang,2004,8.2
127,128, Dangal,2016,8.3
128,129, Per qualche dollaro in più,1965,8.2
129,130, Batman Begins,2005,8.2
130,131, Some Like It Hot,1959,8.2
131,132, The Wolf of Wall Street,2013,8.2
132,133, The Kid,1921,8.2
133,134, Green Book,2018,8.2
134,135, The Father,2020,8.2
135,136, Top Gun: Maverick,2022,8.3
136,137, Judgment at Nuremberg,1961,8.3
137,138, All About Eve,1950,8.2
138,139, The Truman Show,1998,8.2
139,140, There Will Be Blood,2007,8.2
140,141, Shutter Island,2010,8.2
141,142, Casino,1995,8.2
142,143, Ran,1985,8.2
143,144, Jurassic Park,1993,8.2
144,145, The Sixth Sense,1999,8.2
145,146, El laberinto del fauno,2006,8.2
146,147, Unforgiven,1992,8.2
147,148, A Beautiful Mind,2001,8.2
148,149, No Country for Old Men,2007,8.2
149,150, The Treasure of the Sierra Madre,1948,8.2
150,151, The Thing,1982,8.2
151,152, Yôjinbô,1961,8.2
152,153, Kill Bill: Vol,2003,8.2
153,154, Monty Python and the Holy Grail,1975,8.2
154,155, The Great Escape,1963,8.2
155,156, Finding Nemo,2003,8.2
156,157, Rashômon,1950,8.2
157,158, The Elephant Man,1980,8.2
158,159, Hauru no ugoku shiro,2004,8.2
159,160, Prisoners,2013,8.1
160,161, Chinatown,1974,8.1
161,162, Dial M for Murder,1954,8.2
162,163, Gone with the Wind,1939,8.2
163,164, V for Vendetta,2005,8.2
164,165," Lock, Stock and Two Smoking Barrels",1998,8.1
165,166, El secreto de sus ojos,2009,8.2
166,167, Raging Bull,1980,8.1
167,168, Inside Out,2015,8.1
168,169," Three Billboards Outside Ebbing, Missouri",2017,8.1
169,170, Trainspotting,1996,8.1
170,171, The Bridge on the River Kwai,1957,8.1
171,172, Spider-Man: No Way Home,2021,8.2
172,173, Fargo,1996,8.1
173,174, Warrior,2011,8.1
174,175, Klaus,2019,8.2
175,176, Gojira -1,2023,8.3
176,177, Catch Me If You Can,2002,8.1
177,178, Gran Torino,2008,8.1
178,179, Tonari no Totoro,1988,8.1
179,180, Million Dollar Baby,2004,8.1
180,181, Harry Potter and the Deathly Hallows - Part 2,2011,8.1
181,182, Bacheha-Ye aseman,1997,8.2
182,183, 12 Years a Slave,2013,8.1
183,184, Blade Runner,1982,8.1
184,185, Before Sunrise,1995,8.1
185,186, The Grand Budapest Hotel,2014,8.1
186,187, Ben-Hur,1959,8.1
187,188, Barry Lyndon,1975,8.1
188,189, Gone Girl,2014,8.1
189,190, The Gold Rush,1925,8.1
190,191, Hacksaw Ridge,2016,8.1
191,192, In the Name of the Father,1993,8.1
192,193, Salinui chueok,2003,8.1
193,194, On the Waterfront,1954,8.1
194,195, Dead Poets Society,1989,8.1
195,196, The General,1926,8.1
196,197, The Deer Hunter,1978,8.1
197,198, Relatos salvajes,2014,8.1
198,199, Mad Max: Fury Road,2015,8.1
199,200, Sherlock Jr,1924,8.2
200,201," Monsters, Inc",2001,8.1
201,202, Smultronstället,1957,8.1
202,203, The Third Man,1949,8.1
203,204, Le salaire de la peur,1953,8.2
204,205, Jaws,1975,8.1
205,206, How to Train Your Dragon,2010,8.1
206,207, Mary and Max,2009,8.1
207,208, Mr,1939,8.1
208,209, Ford v Ferrari,2019,8.1
209,210, Ratatouille,2007,8.1
210,211, Det sjunde inseglet,1957,8.1
211,212, Room,2015,8.1
212,213, The Big Lebowski,1998,8.1
213,214, Tôkyô monogatari,1953,8.1
214,215, Rocky,1976,8.1
215,216, Logan,2017,8.1
216,217, Spotlight,2015,8.1
217,218, Hotel Rwanda,2004,8.1
218,219, Platoon,1986,8.1
219,220, The Terminator,1984,8.1
220,221, La passion de Jeanne d'Arc,1928,8.1
221,222, Before Sunset,2004,8.1
222,223, Jai Bhim,2021,8.7
223,224, The Best Years of Our Lives,1946,8.1
224,225, La haine,1995,8.1
225,226, The Exorcist,1973,8.1
226,227, Rush,2013,8.1
227,228, Network,1976,8.1
228,229, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
229,230, Stand by Me,1986,8.1
230,231, The Wizard of Oz,1939,8.1
231,232, The Incredibles,2004,8
232,233, Into the Wild,2007,8.1
233,234, Hachi: A Dog's Tale,2009,8.1
234,235, Ah-ga-ssi,2016,8.1
235,236, Babam ve Oglum,2005,8.2
236,237, To Be or Not to Be,1942,8.1
237,238, The Sound of Music,1965,8.1
238,239, The Grapes of Wrath,1940,8.1
239,240, Groundhog Day,1993,8
240,241, La battaglia di Algeri,1966,8.1
241,242, Amores perros,2000,8.1
242,243, Rebecca,1940,8.1
243,244, Cool Hand Luke,1967,8.1
244,245, The Iron Giant,1999,8.1
245,246, The Help,2011,8.1
246,247, It Happened One Night,1934,8.1
247,248, Les quatre cents coups,1959,8.1
248,249, Aladdin,1992,8
249,250, Dances with Wolves,1990,8
